#median_bin_length(cM)	mean_posterior_tmrca
91.125	1.8
91.225	1.8
91.575	1.79
91.925	1.78
92.225	1.78
92.375	1.77
92.975	1.76
93.125	1.76
93.725	1.75
94.375	1.74
94.475	1.74
94.775	1.73
95.175	1.73
95.775	1.72
95.875	1.71
96.075	1.71
97.575	1.69
97.875	1.68
98.375	1.68
98.725	1.67
99.075	1.66
99.575	1.66
99.825	1.65
100.275	1.65
101.375	1.63
103.025	1.61
103.175	1.61
103.675	1.6
106.525	1.56
106.925	1.56
107.375	1.55
107.425	1.55
108.175	1.54
108.525	1.54
110.575	1.52
110.625	1.51
110.775	1.51
110.975	1.51
112.175	1.5
112.325	1.5
113.125	1.49
113.875	1.48
114.025	1.48
116.175	1.46
116.525	1.45
118.025	1.44
118.775	1.43
122.075	1.4
122.525	1.4
123.225	1.39
123.325	1.39
125.025	1.38
130.875	1.33
136.025	1.3
139.075	1.28
140.075	1.28
141.875	1.26
143.675	1.26
144.075	1.25
221.075	1.05
