#median_bin_length(cM)	mean_posterior_tmrca	probability_coalesce_within_10_generation
25.825	5.96	0.8981447210260999
25.875	5.94	0.898883469685226
25.975	5.92	0.9003464840941954
26.025	5.91	0.9010708016214302
26.125	5.88	0.9025051862191137
26.225	5.86	0.903920741209695
26.275	5.85	0.9046215214470957
26.425	5.82	0.9066961777572725
26.475	5.81	0.907378585895911
26.525	5.79	0.908056463941586
26.575	5.78	0.9087298369096428
26.675	5.76	0.9100631672755968
26.725	5.75	0.9107231743039511
26.775	5.74	0.9113787755146002
26.825	5.73	0.912029995519646
26.875	5.72	0.9126768588490834
26.975	5.69	0.9139576131878534
27.025	5.68	0.9145915528426063
27.075	5.67	0.9152212331117408
27.125	5.66	0.9158466781081428
27.175	5.65	0.9164679118600527
27.225	5.64	0.917084958310681
